"Country.Code","Country","Continent","Area","Lanlocked","Lat","Lon"
"ABW","Aruba","America",193,0,12.55,-70.1
"AFG","Afghanistan","Asia",652225,1,34.51667,69.2
"AGO","Angola","Africa",1246700,0,-8.833333,13.25
"AIA","Anguilla","America",102,0,18.21667,-63.06667
"ALB","Albania","Europe",28748,0,41.33333,19.81667
"AND","Andorra","Europe",453,0,42.5,1.5
"ANT","Netherland Antilles","America",960,0,12.1,-68.93333
"ARE","United Arab Emirates","Asia",83657,0,24.46667,54.41667
"ARG","Argentina","America",2766889,0,-34.66667,-58.5
"ARM","Armenia","Asia",29800,1,40.18333,44.5
"ATF","French Southern Antartic territories","No",7829,0,-66.66666,-140
"ATG","Antigua and Barbuda","America",442,0,17.13333,-61.83333
"AUS","Australia","Pacific",7686848,0,-33.88334,151.1667
"AUT","Austria","Europe",83858,1,48.21667,16.36667
"AZE","Azerbaijan","Asia",86600,1,40.36666,49.88334
"BDI","Burundi","Africa",27834,1,-3.366667,29.31667
"BEL","Belgium and Luxembourg","Europe",33114,0,50.83333,4.35
"BEN","Benin","Africa",112622,0,6.4,2.517
"BFA","Burkina Faso","Africa",274200,1,12.33333,-1.666667
"BGD","Bangladesh","Asia",143998,0,23.7,90.36667
"BGR","Bulgaria","Europe",110994,0,42.66667,23.3
"BHR","Bahrain","Asia",678,0,26.2,50.63334
"BHS","Bahamas","America",13939,0,25.08333,-77.33334
"BIH","Bosnia and Herzegovina","Europe",51233,0,43.86666,18.43333
"BLR","Belarus","Europe",207595,0,53.85,27.5
"BLZ","Belize","America",22963,0,17.21667,-88.8
"BMU","Bermuda","America",53,0,32.3,-64.8
"BOL","Bolivia","America",1098581,1,-16.5,-68.16666
"BRA","Brazil","America",8511920,0,-23.53,-46.63
"BRB","Barbados","America",431,0,13.1,-59.61666
"BRN","Brunei Darussalam","Asia",5765,0,4.933333,114.9667
"BTN","Bhutan","Asia",46620,1,27.53333,89.75
"BWA","Botswana","Africa",600372,1,-24.75,25.91667
"CAF","Central African Republic","Africa",622984,1,4.383333,18.61667
"CAN","Canada","America",9976139,0,43.65,-79.38
"CCK","Cocos (Keeling) Islands","Pacific",14,0,-12.5,96.83334
"CHE","Switzerland","Europe",41288,1,46.95,7.433333
"CHL","Chile","America",756945,0,-33.5,-70.66666
"CHN","China","Asia",9572378,0,39.91667,116.4333
"CIV","Côte d'Ivoire","Africa",322463,0,6.82,-5.28
"CMR","Cameroon","Africa",475442,0,3.85,11.51667
"COG","Congo","Africa",342000,0,-4.233333,15.23333
"COK","Cook Islands","Pacific",240,0,-21.2,-159.7667
"COL","Colombia","America",1141748,0,4.633333,-75.06667
"COM","Comoros","Africa",1862,0,-11.66667,43.26667
"CPV","Cape Verde","Africa",4033,0,14.91667,-23.5
"CRI","Costa Rica","America",51076,0,9.983334,-84.06667
"CUB","Cuba","America",110861,0,23.11667,-82.41666
"CXR","Christmas Island","Pacific",135,0,-10.41667,105.7167
"CYM","Cayman Islands","America",262,0,19.3,-81.38333
"CYP","Cyprus","Europe",9251,0,35.15,33.35
"CZE","Czech Republic","Europe",78864,1,50.1,14.43333
"DEU","Germany","Europe",357325,0,52.533,13.417
"DJI","Djibouti","Africa",23200,0,11.6,43.15
"DMA","Dominica","America",751,0,15.3,-61.38334
"DNK","Denmark","Europe",43094,0,55.66667,12.58333
"DOM","Dominican Republic","America",48734,0,18.5,-69.78333
"DZA","Algeria","Africa",2381741,0,36.83333,3
"ECU","Ecuador","America",275716,0,-0.2333333,-78.5
"EGY","Egypt","Africa",1001449,0,30.05,31.25
"ERI","Eritrea","Africa",121320,0,15.33333,38.88334
"ESH","Western Sahara","Africa",266000,0,27.16667,-13.18333
"ESP","Spain","Europe",505954,0,40.41667,-3.716667
"EST","Estonia","Europe",45227,0,59.41667,24.75
"ETH","Ethiopia","Africa",1127127,1,9.05,38.83333
"FIN","Finland","Europe",336593,0,60.13334,25
"FJI","Fiji","Pacific",18333,0,-18.13333,178.4167
"FLK","Falkland Islands","America",12173,0,-51.7,-57.85
"FRA","France","Europe",547026,0,48.86666,2.333333
"FRO","Faroe Islands","Europe",1399,0,62.01667,-6.766667
"FSM","Micronesia (Federated States of)","Pacific",707,0,6.916667,158.25
"GAB","Gabon","Africa",267667,0,0.3833333,9.416667
"GBR","United Kingdom","Europe",244110,0,51.5,-0.1666667
"GEO","Georgia","Asia",69700,0,41.71667,44.81667
"GHA","Ghana","Africa",238538,0,5.55,-0.25
"GIB","Gibraltar","Europe",7,0,36.13334,-5.35
"GIN","Guinea","Africa",245857,0,9.516666,-15.71667
"GLP","Guadeloupe","America",1780,0,16,-61.73333
"GMB","Gambia","Africa",11295,0,13.46667,-16.65
"GNB","Guinea-Bissau","Africa",36125,0,11.86667,-15.65
"GNQ","Equatorial Guinea","Africa",28051,0,3.75,8.8
"GRC","Greece","Europe",131621,0,38,23.73333
"GRD","Grenada","America",345,0,12.06667,-61.73333
"GRL","Greenland","America",2166086,0,64.18333,-51.73333
"GTM","Guatemala","America",108889,0,14.63333,-90.51667
"GUF","French Guiana","America",91000,0,4.933333,-52.33333
