"Country","Country.Code","Region","Income.Group","Regional.Code"
"Aruba","ABW","Latin America & Caribbean","High income","LAC"
"Afghanistan","AFG","South Asia","Low income","SA"
"Angola","AGO","Sub-Saharan Africa","Lower middle income","SSA"
"Albania","ALB","Europe & Central Asia","Upper middle income","ECA"
"Andorra","AND","Europe & Central Asia","High income","ECA"
"United Arab Emirates","ARE","Middle East & North Africa","High income","MENA"
"Argentina","ARG","Latin America & Caribbean","Upper middle income","LAC"
"Armenia","ARM","Europe & Central Asia","Upper middle income","ECA"
"American Samoa","ASM","East Asia & Pacific","Upper middle income","EAP"
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","LAC"
"Australia","AUS","East Asia & Pacific","High income","EAP"
"Austria","AUT","Europe & Central Asia","High income","ECA"
"Azerbaijan","AZE","Europe & Central Asia","Upper middle income","ECA"
"Burundi","BDI","Sub-Saharan Africa","Low income","SSA"
"Belgium","BEL","Europe & Central Asia","High income","ECA"
"Benin","BEN","Sub-Saharan Africa","Lower middle income","SSA"
"Burkina Faso","BFA","Sub-Saharan Africa","Low income","SSA"
"Bangladesh","BGD","South Asia","Lower middle income","SA"
"Bulgaria","BGR","Europe & Central Asia","Upper middle income","ECA"
"Bahrain","BHR","Middle East & North Africa","High income","MENA"
"Bahamas, The","BHS","Latin America & Caribbean","High income","LAC"
"Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","ECA"
"Belarus","BLR","Europe & Central Asia","Upper middle income","ECA"
"Belize","BLZ","Latin America & Caribbean","Upper middle income","LAC"
"Bermuda","BMU","North America","High income","NAC"
"Bolivia","BOL","Latin America & Caribbean","Lower middle income","LAC"
"Brazil","BRA","Latin America & Caribbean","Upper middle income","LAC"
"Barbados","BRB","Latin America & Caribbean","High income","LAC"
"Brunei Darussalam","BRN","East Asia & Pacific","High income","EAP"
"Bhutan","BTN","South Asia","Lower middle income","SA"
"Botswana","BWA","Sub-Saharan Africa","Upper middle income","SSA"
"Central African Republic","CAF","Sub-Saharan Africa","Low income","SSA"
"Canada","CAN","North America","High income","NAC"
"Switzerland","CHE","Europe & Central Asia","High income","ECA"
"Channel Islands","CHI","Europe & Central Asia","High income","ECA"
"Chile","CHL","Latin America & Caribbean","High income","LAC"
"China","CHN","East Asia & Pacific","Upper middle income","EAP"
"Côte d’Ivoire","CIV","Sub-Saharan Africa","Lower middle income","SSA"
"Cameroon","CMR","Sub-Saharan Africa","Lower middle income","SSA"
"Congo, Dem. Rep.","COD","Sub-Saharan Africa","Low income","SSA"
"Congo, Rep.","COG","Sub-Saharan Africa","Lower middle income","SSA"
"Colombia","COL","Latin America & Caribbean","Upper middle income","LAC"
"Comoros","COM","Sub-Saharan Africa","Lower middle income","SSA"
"Cabo Verde","CPV","Sub-Saharan Africa","Lower middle income","SSA"
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","LAC"
"Cuba","CUB","Latin America & Caribbean","Upper middle income","LAC"
"Curaçao","CUW","Latin America & Caribbean","High income","LAC"
"Cayman Islands","CYM","Latin America & Caribbean","High income","LAC"
"Cyprus","CYP","Europe & Central Asia","High income","ECA"
"Czech Republic","CZE","Europe & Central Asia","High income","ECA"
"Germany","DEU","Europe & Central Asia","High income","ECA"
"Djibouti","DJI","Middle East & North Africa","Lower middle income","MENA"
"Dominica","DMA","Latin America & Caribbean","Upper middle income","LAC"
"Denmark","DNK","Europe & Central Asia","High income","ECA"
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","LAC"
"Algeria","DZA","Middle East & North Africa","Lower middle income","MENA"
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","LAC"
"Egypt, Arab Rep.","EGY","Middle East & North Africa","Lower middle income","MENA"
"Eritrea","ERI","Sub-Saharan Africa","Low income","SSA"
"Spain","ESP","Europe & Central Asia","High income","ECA"
"Estonia","EST","Europe & Central Asia","High income","ECA"
"Ethiopia","ETH","Sub-Saharan Africa","Low income","SSA"
